article,classification,summary
"An obscure agreement struck by state governments in 1993 means the vast majority of australians will not get a day off this anzac weekend. Under the pact, no public holiday is triggered when anzac day falls on a saturday, as it does this year. The agreement was designed to provide uniformity of public holidays across the nation. That makes anzac day the exception when it comes to public holidays. If easter, christmas, australia day, the queen's birthday or labour day fall on a weekend, a holiday is granted on a weekday. Scroll down for video. Bosses in some states have been warned to expect a rise in employees calling in sick this monday due to the lack of an anzac day public holiday. But the rules do not apply to everyone, it seems. Western australia and some public servants in canberra have decided to go it alone and will get monday off. The head of the immgration department declared monday a public holiday for 8, 500 staff, but other departments such as the australian taxation office and defence will have to turn up to work. For the rest of the country, it's back to work on monday. The decision not to grant the holiday has been condemned by some groups and human resources expert paul dundon warned there would be a big jump in employees calling in sick because they feel `entitled' to the day off, reports courier mail.' Em ployees will feel aggrieved by not having a day off, australians have an entitlement mentality,' said mr dundon, the boss of direct health solutions. ` they're missing out and people want their fair share.' Mr dundon said bosses should expect a 20 per cent - 25 per cent rise in absenteeism on monday 27. In turn, some businesses have notified staff that if they they fake a sick day, they risk losing their job. In queensland alone, losses to businesses are estimated at more than $ 7. 5 million if an expected 20, 000 workers call in sick",correct,"Under the pact, no public holiday is triggered when anzac day falls on a saturday, as it does this year. The agreement was designed to provide uniformity of public holidays across the nation. If easter, christmas, australia day, the queen's birthday or labour day fall on a weekend, a holiday is granted on a weekday."
"An ohio couple have been found dead in an apparent murder - suicide in their stateroom aboard a holland america cruise ship docked in puerto rico. The unidentified man and woman were in their 50s and from cleveland, police sgt. Ricardo cruz told the associated press. Cruz said blood was found in the cabin aboard the ms ryndam, but it was unclear how the couple died. A team of fbi investigators boarded the ms ryndam after a cleveland couple were found dead in an apparent murder - suicide as the ship docked in san juan, puerto rico. The bodies were taken off the ship thursday night by a team of fbi crime scene investigators. Authorities will not say how the couple died. The cruise is expected to get back underway on friday as it heads to the virgin islands. ` we don't know yet whether an object was used or what the motive was,' he said. He said the ship's cleaning crew found the bodies when they checked on the couple after not seeing them for a while. The fbi has taken over the investigation. It was unclear exactly when the couple died. The ship departed tampa, florida, on sunday for a two - week cruise in the southern caribbean. It stopped in key west on monday and then spent two days at sea before docking in historic old san juan on thursday, holland america spokesman erik elvejord said. Passengers say they had no idea of what had happened - only that they had to wait a long time to disembark from the ship. Passengers were horrified when they learned what had happened in a stateroom aboard the ship. ` we are terribly saddened by this tragic event,' the company said in a statement. Cruise ship passengers said they were not aware of what had happened. ` this is a shock to me,' said mark moore of watertown, new york, who was traveling with his wife. He said the crew had roped off part of the ship and hung a sheet in the hallway as passengers di",correct,"The bodies were taken off the ship thursday night by a team of fbi crime scene investigators. Authorities will not say how the couple died. The ship departed tampa, florida, on sunday for a two-week cruise in the southern caribbean."
"Boko haram militants have disguised themselves as preachers in order to carry out a savage gun massacre in northern nigeria that left at least 24 people dead. The islamic extremists drove cars to a mosque in the remote village of kwajafa in borno state, where they told locals they were there to teach islam. Once a crowd had gathered around the men, the jihadis opened fire using handguns and assault rifles before setting fire to nearby houses that were filled with unsuspecting families. The attack came as new pictures showed how teenagers caught up in previous slaughters carried out by boko haram in neighbouring chad are being encouraged draw spine - chilling pictures of the attacks as part of their therapy. Memories : the attack came as new pictures showed how teenagers caught up in previous slaughters carried out by boko haram are being encouraged draw pictures of the attacks as part of their therapy. Heartbreaking : the chilling images illustrate the innocence of the young victims murdered by the jihadis. Shocking : young men and women at a refugee camp near baga sola in chad were photographed drawing bloody scenes of assault rifle - wielding gunmen carrying out slaughters from the back of pick - up trucks. Boko haram's six - year insurgency in nigeria, and president goodluck. Jonathan's failure to end it were key factors. In the victory of opposition candidate muhammadu buhari in last. Week's election. The group fighting for an islamic state has killed thousands. And kidnapped hundreds, although a military operation against. Them by nigeria and neighbours chad, cameroon and niger in the. Past two months has wrested back much of the territory it. Controlled. ` people didn't know the boko haram men came for attack. Because they lied to our people that they came for preaching,' said buba in a telephone conversation. ` they opened fire on them and killed many people,' he said,. Adding that houses were set on fire",correct,Islamic extremists drove cars to mosque in remote village of kwajafa. They told locals they were there to teach islam. Jihadis opened fire using handguns and assault rifles.
"Brendan rodgers has launched an impassioned defence of his abilities, insisting there is nobody better equipped to manage liverpool under the fenway sports group model. It has been a difficult week for rodgers, with the meek manner of last sunday's 2 - 1 defeat by aston villa in the fa cup semi - final ensuring his position has come under scrutiny like at no point during his three - year reign at the club. Fsg, liverpool's owners, maintain rodgers' job is not even up for discussion but that has not stopped jurgen klopp - - who will leave borussia dortmund at the end of the campaign - - being mentioned as a possible successor. Brendan rodgers insists he is the man to guide liverpool to success despite a disappointing season. The liverpool manager is under pressure following the fa cup semi - final defeat by aston villa last sunday. But rodgers has been boosted by the news that jordan henderson ( left ) has committed his future to the club. But rodgers has not been rattled by the intensity of the criticism nor is he dwelling on the disappointment. He is concentrating on building liverpool back up and wants the club to be `really forceful' when they embark on their summer recruitment drive. ` after the weekend there is always emotion,' said rodgers, who will again be without daniel sturridge at west brom and is `unsure' when he will return. ` when you lose a big game this is when you find out you are at a big club because the critics come after you. ` three months ago, i was a tactical genius. Now i have lost a couple of games and it is not so good. ` that is something you have to deal with. When i sit down and look at it, i will hold myself up against anyone to manage this club and to fit the model of what they ( fsg ) want. I am super ambitious in terms of wanting to win and there will be no greater",correct,Jurgen klopp will leave borussia dortmund at the end of the campaign. Brendan rodgers insists he is the man to guide liverpool to success. Liverpool manager is under pressure after fa cup semi-final defeat by aston villa.
"Chelsea have suffered a blow in their pursuit of palermo's paulo dybala after the striker declared he `would love to stay in serie a'. The 21 year old has scored 13 league this season and has also attracted interest from the likes of manchester united, arsenal, paris saint - germain and atletico madrid. But reports in italy suggest that juventus have offered $ 23million for dybala, who admitted he would love to play alongside andrea pirlo and does not `speak a word of english or french'. Palermo's paulo dybala has attracted interest from a number of leading clubs in europe. Dybala ( centre ) has scored 13 league goals for palermo this season and could be on the move.' I love italy. This is the country that made me famous and i would love to stay in serie a,' he said. ` there are some big teams out there who don't play in champions league and i can't deny that i'd love to play in europe's most prestigious competition. ` it's a lot easier for a striker when you have a playmaker like pirlo behind you,' he added. ` he makes even the most difficult things look easy.'",correct,"The 21 year old has scored 13 league this season. Juventus have offered $ 23million for dybala, who admitted he would love to play alongside andrea pirlo. Palermo's paulo dybala has attracted interest from leading clubs in europe."
"Claudia martin, 33, has been convicted of suffocating her newborn baby daughter. A mother - of - five has been convicted of killing her newborn baby girl by filling her mouth with toilet paper and hiding her body in a suitcase. Claudia martins gave birth alone at her sister's flat having kept her pregnancy secret from her family and friends. Paramedics were called after the 33 - year - old, a portuguese national, was found sitting in the bath with' a lot of blood' and she was taken to hospital. Earlier she had killed the infant by stuffing toilet paper down its throat. She then wrapped the baby girl in towels and a plastic bag and hid the body in a suitcase - where it lay undiscovered for three days. Martins was acquitted by a jury of a single charge of murder but convicted of manslaughter by reason of diminished responsibility. During her trial at bristol crown court the jury was told she gave birth alone at her sister's flat in knowle, bristol on september 12 last year. Adam vaitilingam qc, prosecuting, said : `she told no - one of her pregnancy and gave birth in as secretive a way as she could, for someone living in a crowded flat, and kept the fact of that birth secret from all those around her and closest to her, including her sister. ` she placed the body of the baby in a suitcase, hidden from anyone. ` no doubt, we suggest she intended to dispose of it but was prevented from doing so by the arrival of the paramedics, who took her off to hospital.' Two days later, her sister vilma raised the alarm after noticing a smell coming from a suitcase in the defendant's bedroom. Police were called to the flat and discovered the body of a newborn baby inside martins' small, black suitcase, on september 15. Martins, described as having an extremely low iq, was arrested and admitted she had given birth but said the baby was stillborn.",correct,"Claudia martins gave birth alone at her sister's flat having kept her pregnancy secret from her family and friends. Paramedics were called after the 33-year-old, a portuguese national, was found sitting in the bath with' a lot of blood' and she was taken to hospital. Martins was acquitted by a jury of a single charge of murder but convicted of manslaughter by reason of diminished responsibility."
"Cooking a gourmet lunch for family and friends at easter has never been so easy - or cheap. One of australia's most loved cooks, lyndey milan, has teamed up with aldi to create easter lunch recipes that will easily feed six people for less than $ 6 each. The home cook icon put her skills to the test by trawling the supermarket aisles to find healthy, fresh produce to turn into an easter feast. Scroll down for video. One of australia's most loved cooks, lyndey milan, has teamed up with aldi to create easter lunch recipes that will easily feed six people for less than $ 6 each.' I am such of a massive fan of the hospitality of a table. I think sitting down around a table is the loveliest thing,' milan told daily mail australia. ` the worst homemade disaster is better than the shop bought stuff. You'll be wealthier, healthier and friendlier for cooking for the people you love.' The results of her aldi experiment include greek lamb with salad and zucchini pilaf and herb crusted salmon with pea puree, smashed potatoes and carrots. For dessert, lyndey says her hot cross bun and easter egg bread & butter pudding with almond praline, which came in at $ 2 per person, is guaranteed to be a crowd - pleaser. ` the hot cross bun pudding is so much fun. What i like about it is you can use leftovers - - you'll always have stale hot cross buns and easter eggs,' lyndey told daily mail australia. ` the salmon is smart enough for a dinner party. I would serve that for people coming for dinner. ` what i love about it is the ease of preparation. All you do it make the crusting, spread the salmon with dijon mustard - - it's not that hard, it's perfect.' The home cook icon put her",correct,"One of australia's most loved cooks, lyndey milan, has teamed up with aldi to create easter lunch recipes that will easily feed six people for less than $ 6 each. Lyndey says her hot cross bun and easter egg bread & butter pudding with almond praline came in at $ 2 per person. The home cook icon put her skills to the test."
"Dmitry kaminskiy is hoping his million dollar gift will trigger a new group of `supercenternarians' a moldovan multi - millionaire whose dream it is to live forever has promised to give $ 1 million to the first person to reach the age of 123. Dmitry kaminskiy, a senior partner of hong kong - based firm, deep knowledge ventures, is hoping his million dollar gift will trigger a new group of `supercenternarians'. He says research into stem cells, tissue rejuvenation and regenerative medicine will allow people to live beyond 120 - an age that has been quoted as the `real absolute limit to human lifespan'. ` we live in the most exciting era of human development when technologies become exponential and transformative,' kaminskiy told dailymail. Com. ` they may not realise it, but some of the supercentenarians alive today may see the dawn of the next century if they live long enough for these transformative technologies to develop.' I hope that my prize will help some of them desire longer lifespans and make their approaches to living longer a little more competitive.' French born jeanne calment currently holds the record, having lived to age 122. 5. She died in 1997. Already, a number of supercentenarians are candidates to best calment's record. The oldest verifiable supercentenarians living now are jeralean talley, at 115 years, and susannah mushatt jones, also at 115 years. Both are americans, and talley is older by 44 days. In the last few years, major anti - aging companies, such as google's calico and j. Craig venture's new san diego - based genome sequencing start - up human longevity inc, have launched. Along side this, billionaires like larry ellison, sergey brin, peter thiel, paul f. Glenn, and dmitry itskov are also funding research into longevity science. One of the oldest",correct,"Dmitry kaminskiy is hoping his million dollar gift will trigger a new group of `supercenternarians' he says research into stem cells, tissue rejuvenation and regenerative medicine will allow people to live beyond 120 - an age is the `real absolute limit to human lifespan' french born jeanne calment lived to age 122.5. She died in 1997. One of the oldest living today is jeralean talley."
"England will send an under 20 team to the toulon tournament this summer following the successful experiment last year. Gareth southgate's squad finished fourth last may and the nucleus of that group will be involved in the european under 21 championships this june. The fa felt the diversity and quality of opposition in toulon were key to helping young players' education and the decision has been made to enter once again. Aidy boothroyd will lead the team this time in the toulon tournament that runs from may 27 until june 7. Gareth southgate ( right ) led england to fourth in the toulon tournament last may. Liverpool winger jordon ibe ( left ) could feature in the squad for the competition. Aidy boothroyd will be the man in charge of the under 20s this time and his squad could include players such as liverpool's jordon ibe. Other participating countries include holland, the ivory coast, mexico and the united states. The tournament runs from may 27 to june 7.",correct,Aidy boothroyd will be the man in charge of the under 20s this time. Toulon tournament runs from may 27 to june 7. Gareth southgate's squad finished fourth last may.
"Ever felt constrained by the lamp in your living room or bedroom? Wished you could place it on the other side of the room, but not had the plug socket needed? Well, your mood - lighting dreams are about to come true. Philips has unveiled its latest foray into smart lighting which, thanks to its wireless and rechargeable features, can be moved wherever you want in your home. The dome - like hue go can be controlled wirelessly from any ios or android device via the philips hue app or any app developed for the lamp. Scroll down for video. Bowl of sunshine : the lamp uses a rechargeable battery and offers three hours of continuous light. When connected to the `bridge', hue go can also be synced to music for a disco effect, as well as to television programmes, films and video games to create more of an atmosphere depending on the mood. The bridge is what links the app to the hi - tech bulbs. Linked to wi - fi, it can connect up to 50 bulbs at a time. The bridge also connects a system to the wider world. With it a user can control lights remotely to ward off burglars, for example. Mood lighting : the button has seven preset light settings : warm white light, cool daylight, and what philips describe as `five natural dynamic effects' that enhance moments such as meditation ( pictured ). Wakey wakey! The dome - shaped lamp can also be used as a sleep aid and an alarm clock. It gradually dims or increases light intensity to gently encourage sleep or waking. The bowl - shaped lamp uses a rechargeable li - ion battery and offers up to three hours of continuous light after a 90 - minute charge. Rechargeable non - - replaceable li - ion battery. Up to 3 hours of light after a 90 - minute charge. All shades of white, from warm to cold colour temperatures. 16 million colors. 5 dynamic",correct,The lamp uses a rechargeable battery and offers three hours of continuous light. The bridge is what links the app to the hi-tech bulbs. With it a user can control lights remotely to ward off burglars.
"Few people can fail be wowed by technicolor butterfly wings that `sparkle' in the sunlight. And now a photographer has captured the finer details of these iridescent insects in stunning clarity, including the rainbow scales of their delicate wings. Some look like exotic bird feathers and colourful ribbon, while others resemble jagged autumnal leaves that change colour at the outer edges. Scroll down for video. These stunning pictures show the finer details of a butterfly's wing in stunning clarity, including their rainbow scales. As well as the beautiful colours, they show the layout of individual scales, which give the insect its iridescence. This image shows the wing of a sunset moth. The photos were shot by linden gledhill from staffordshire, who combines his love of photography with a phd in biochemistry. The 51 - year - old uses a modified microscope and a camera to capture the detail of the butterfly's wing pattern. His photographs show the pretty insects' scale - covered wings. Butterfly wings are covered by thousands of microscopic scales split into two to three layers, which gives them their greek order name of lepidoptera - meaning scaled wings. Each scale is pigmented with melanins that give butterflies black and brown colouring, but eye - catching blues, greens, reds and iridescence are created by the microstructure of the scales, rather than pigments themselves. Some of the scales look like exotic bird feathers, while others resemble autumnal leaves that change colour at the outer edges, such as this beautiful image of a detached scale from a tiger swallowtail. The tiny scales combine to give the striking colouration of the eastern tiger swallowtail ( stock image ). It is a species of swallowtail butterfly native to eastern north america and is one of the most familiar butterflies in the eastern us, where it is common in many different habitats. Each scale of a butterfly is pigmented with melanins that give butterflies black and brown colouring,",correct,Butterfly wings are covered by thousands of microscopic scales split into two to three layers. The 51-year-old uses a modified microscope and a camera to capture the detail of the butterfly's wing pattern. It is a species of swallowtail butterfly native to eastern north america.
"Foreign gps now account for 11 per cent of family doctors, new figure show. The number of gps from abroad is up by 11 per cent in a decade as the nhs tries to combat a shortage of staff. Foreigners now account for almost one family doctor in five although in some areas the proportion is more than two - thirds. Senior doctors say the number will rise further over the next few years because the nhs is so short of homegrown medics. Figures from the health and social care information centre show that 22. 0 per cent of current gps gained their qualifications overseas, up from 19. 8 per cent in 2004. But the figure is 71 per cent in barking and dagenham, east london, 63 per cent in medway, kent, and 58 per cent in north lincolnshire. The nhs is facing a shortage because many gps are retiring early. Others are moving overseas in search of better conditions. The royal college of gps estimates that the nhs will need to hire at least 8, 000 more doctors over the next five years to keep pace with a rising, and ageing, population. The nhs employs 40, 584 gps, of whom 8, 941 are from overseas. This is up from 6, 921 in 2004 when there were 34, 855 family doctors in total. Dr richard vautrey, deputy chairman of the british medical association's gp committee, said : `we need gps from around the world to support the health service, and we simply don't train enough. ` we need to encourage more students and junior doctors to choose general practice, and to expose them more to general practice, so they see it more as an attractive option for the future.' The figures do not state where the foreign gps trained but separate data from the general medical council shows many are from india, pakistan, south africa and nigeria. Earlier this year ukip leader nigel farage sparked controversy by claiming that foreign gps should not be working on the nhs as they did",correct,The number of gps from abroad is up by 11 per cent in a decade. Foreigners now account for almost one family doctor in five. Doctors say the number will rise further over the next few years.
"How neanderthals met their demise remains a long standing mystery for historians. One theory is that early modern humans `bullied' their neanderthal cousins to the point of extinction because they had better tools to survive. But a new study of ancient stone tools contradicts this theory by suggesting human weapons were no better than those created by neanderthals. The researchers studied stone tools that were used by people in the early ahmarian culture and the protoaurignacian culture, living in south and west europe and west asia around 40, 000 years ago. They found the human tools ( pictured ) were no more effective than neanderthal - created tools of the same era. Researchers say the discovery means we may need to rethink the reasons humans survived neanderthals - and that we may not have behaved as differently as we thought. Traditionally, scientists believed that innovation in weapons enabled humans to spread out of africa to europe. But the new study by nagoya university and the university of tokyo in japan argues neanderthals were just as well - equipped as their human counterparts. ` we're not so special, i don't think we survived neanderthals simply because of technological competence,' said dr seiji kadowaki, first author of the study from nagoya university, japan. On the left is a map of the levant showing the locations of the early ahmarian - related sites analysed in this study. Neanderthals ( reconstruction right ) may not have been as dim - witted as first believe, claims the study. The early ahmarian culture used small stone points as tips for hunting weapons like throwing spears. Researchers previously considered these to be an important innovation - one that helped the humans migrate from west asia to europe, where neanderthals were living. Early modern humans expanded the geographic area they inhabited out of africa during a period of time",correct,"Researchers studied stone tools used by people in the early ahmarian culture and the protoaurignacian culture, living in south and west europe and west asia around 40,000 years ago. They found the human tools were no more effective than neanderthal-created tools of the same era. Scientists believed that innovation in weapons enabled humans to spread out of africa to europe."
"If you struggle to get your child to go to school in the morning, don't blame them - it could be your fault. Our willingness to learn - or lack thereof - is significantly influenced by our genes, according to a large study. The researchers found that 40 to 50 per cent of the differences in children's motivation to learn could be explained by their genetic inheritance from their parents. Our willingness to learn is significantly influence by our genes, according to a study by goldsmiths university in london and ohio state university. More than 13, 000 twins aged nine to 16 took part in the research ( stock image shown ). Psychologists from goldsmiths university of london, and ohio state university in the us studied more than 13, 000 twins aged nine to 16 from six countries, including the uk, canada, japan, germany, russia and the us. The researchers said they were surprised by the results, believing that the twins' shared environment - elements such as the teachers and the family that they had in common - would be a larger factor than genetics. Instead, genetics and non - shared - environment factors had the largest effect on the children's motivation to learn, whereas the shared environment had negligible impact. Genetics and non - shared - environment factors were found to have the largest effect on the children's motivation to learn, whereas the shared environment had negligible impact ( stock image shown ). A review of 308 studies involving more than 1. 1 million children has now completely overturned this long - held stereotype. The study, which looked at data from 1914 to 2011, suggests that girls do better in school than boys - and have been doing so for at least 100 years. The research also claims that girls do better at all ages, in all subjects and all over the world. According to the data, compiled by the university of new brunswick in canada, girls have been outperforming boys throughout their academic",correct,"Psychologists from goldsmiths university of london studied more than 13,000 twins aged nine to 16 from six countries, including the uk, canada, germany, russia and the us. Our willingness to learn is significantly influence by our genes, according to a study by goldsmiths university in london and ohio state. Genetics and non-shared-environment factors were found to have the largest effect on the children's motivation to learn."
"Islamabad, pakistan ( cnn ) her second floor cafe on a dusty industrial road was painted with dashes of psychedelic colors. And sabeen mahmud surrounded herself there with books, people, and discussions on technology, human rights and women's entrepreneurship. Introducing others to jimi hendrix, street art, and talking politics was not supposed to get her killed. But in pakistan, free speech is dangerous, and mahmud's exuberant exercise of it made her stick out nationwide. Two gunman shot her dead at point - blank range late friday after she locked up the second floor cafe in karachi for the night, police said. Mahmud died from five bullet wounds. The gunmen also shot her mother. She is in a hospital but is expected to be released on time for her daughter's funeral. Mahmud's killing broke hearts beating for non - violence and progressive values across the country. She freely said what she thought in a place where many people are too afraid to and by doing so spoke for many more people than just herself. She had become a pakistani figurehead for humanism, love and tolerance. ` `she took that torch into the dark forest and so many people followed. She really, truly was a success story of the heart,'' said close friend and bbc journalist ziad zafar. No one has claimed responsibility for her shooting, and police have not named any motive. But mahmud had just finished leading a discussion group on a topic that many want silenced, when the shots fell. In the province of baluchistan, where separatists have fought a virulent insurgency for years, people have been disappearing regularly. There have been steady allegations of mass abduction. The lahore university of management sciences planned to host the discussion on the topic, with human rights activist mama qadeer baloch, but authorities shut it down. Mahmud would not hear of it not going on. ` `despite the plurality of opinion, very little space seems to be",correct,"In pakistan, free speech is dangerous. Mahmud died from five bullet wounds. She is expected to be released on time for her daughter's funeral."
"It could have easily been passed off as an april fool's day joke, but for one couple winning the $ 53million euromillions jackpot was a reality. Richard and angela maxwell, from coningsby in lincolnshire, became 10th on the national lottery rich list after they scooped $ 53, 193, 914 on the draw on tuesday. The couple, both 67, so far have only modest plans for what to do with the huge windfall - with mr maxwell planning to retire and play bowls. Scroll down for video. Richard and angela maxwell from lincolnshire have become the 10th biggest british winners of euromillions. Mrs maxwell said she thought her husband was playing an april fools' day joke on her when he told her. The semi - retired consultant in the poultry industry said :' i always keep our lottery tickets in the kitchen drawer so i took a break and went online to check the results.' I looked first at the two lucky stars and noticed we had those. Then i scanned across to the first main number and immediately knew they all matched our numbers. I checked again and again, five times in total, as i couldn't believe it.' Mr maxwell said he was in shock when he saw only one ticket had won $ 53million and believed someone had scanned his ticket and put it on the website as a joke. ` it was april fool's day after all,' he added. The father - of - two kept the win to himself for four more hours until wife angela got home from helping to cook for a local oap luncheon club. He said :' i knew angela would be busy and wouldn't answer her mobile phone so i waited til she got home.' I kept myself busy making cups of tea for the builders because i couldn't sit still but didn't say anything to anyone.' When his wife came back carrying a basket of tea towels and asking about dinner plans, mr maxwell said :",correct,"Richard and angela maxwell became 10th on the national lottery rich list. The couple, from coningsby in lincolnshire, scooped $ 53,193,914 on the draw. Mrs maxwell thought her husband was playing an april fools' day joke on her."
"It was one of the greatest tv series ever made, and changed the way we view our planet and the life on it. Now, the sweeping documentary series `planet earth' is getting a sequel. The filmmakers said they plan to use the latest digital camera technology as they venture from the planet's ice caps to ocean depths to deserts and remote forests. Scroll down for video of the original planet earth. This photo provided by netflix and wwf - international shows an aerial view of hardy reef, home to the heart reef, in the great barrier reef, australia, an area which will be included in the netflix natural history series, `our planet,' in collaboration with silverback films and wwf. The show will focus on the earth's last wilderness areas and the animals living there. Filmmakers said they plan to use the latest digital camera technology as they venture from the planet's ice caps to ocean depths to deserts and remote forest. ` our planet' will focus on the earth's last wilderness areas and the animals living there, the project's british producers said wednesday. Audiences will have to be patient : the eight - part series will take four years to make and is planned for a 2019 debut for netflix customers internationally. ` our planet' is being produced by u. K. - based silverback films in collaboration with world wildlife fund, an independent conservation group. Silverback company directors alastair fothergill and keith scholey, whose credits include `frozen planet' and `african cats' as well as `planet earth,' will lead the production. ` we will reveal the most amazing sights on earth and show them in ways they have never been seen before,' fothergill and scholey promised in a statement. The series is intended to wow `global audiences with the wonder and importance of the natural world,' they said. ` netflix is proud to be the global home for perhaps silverback's most ambitious project to date,' said lisa",correct,The filmmakers said they plan to use the latest digital camera technology as they venture from the planet's ice caps to ocean depths to deserts and remote forests. The show will focus on the earth's last wilderness areas and the animals living there. The eight-part series will take four years to make and is planned for a 2019 debut for netflix customers.
"John truong thought he was helping his sister have a nice night out with her boyfriend. Instead, he ended up an unknowing accomplice to a bizarre abduction. Police arrested truong's sister alyssa chang this week after she allegedly helped kidnap 2 - year - old ronnie tran and his mother, with the child's grandmother, 65 - year - old vien nguyen. Authorities say chang and nguyen incapacitated the child's mother at her home in des moines, washington, bound her with plastic ties and then took the two to another home in fife. Chang and the grandmother then took off the the toddler, leaving the mother locked in a cupboard. An amber alert was issued for the boy tuesday night, after the mother managed to escape and find help. Scroll down for video. Babysitting : john truong agreed to babysit 2 - year - old ronnie tran ( pictured ) on tuesday. He says his sister dropped off the boy, saying the toddler was her boyfriend's son and they wanted to go on a date night. That same night, truong says his sister asked him to babysit the toddler he had never met before, saying it was her boyfriend's son and they wanted to go out on a date night. She promised to pick up the boy in the morning, but she never returned and eventually stopped answering her brother's messages. It wasn't until the next day that truong realized he was harboring an abducted child when he read an amber alert on online. ` i'm eating my breakfast, i'm checking my facebook, all of a sudden i see this amber alert for this child,' truong recounted to komo. ` and it looks like this child in my bed, and i'm like, `` oh my god! What's going on?' '' truong then called police to report",correct,"John truong thought he was helping his sister have a nice night out with her boyfriend. He ended up an unknowing accomplice to a bizarre abduction. Authorities say chang and nguyen incapacitated the child's mother at her home in des moines, washington, bound her with plastic ties and then took off the toddler, leaving the mother locked in a cupboard."
"Legendary barcelona captain carles puyol is believed to be training with a view to ending his retirement from football for a lucrative end - of - career spell in qatar or the united states. Puyol won six la liga titles and enjoyed three champions league wins at barca and is considered to be one of the finest defenders of his generation having been named in uefa's european team of the year six times across a trophy - laden career. The 36 - year - old retired last may after 15 years at his boyhood club having struggled to return from a persistent knee injury, but now reports claim he could be set for a return to playing with new york city or al - sadd after returning to training. Barcelona legend carles puyol is said to be training ahead of a return to playing in either the us or qatar. The 36 - year - old retired last may after struggling to return from a persistent knee injury that had troubled him. If the reports from spanish paper mundo deportivo prove true, puyol could join up with manchester city midfielder frank lampard in the states or with his former long - term team - mate xavi, who is expected to move to qatar with al - sadd. The curly - haired centre back had hinted on his retirement that he would consider a return to the game had it not been for the knee injury that plagued the tail - end of his career.' I don't think i'll be a coach, it's not what i'd like most,' puyol said in may. ` maybe i'll change my mind but for now i want to do other things.' Puyol, seen here with qatar airways chief executive officer akbar al - baker, could move to the middle east. Xavi, puyol's former team - mate, is said to considering a move to al - sadd and puyol could join him there. David villa is now playing for new york city",correct,Barcelona legend carles puyol is believed to be training with a view to ending his retirement from football for a end-of-career spell in qatar or the us or qatar. Puyol won six la liga titles and played at barca. The 36-year-old retired last may after 15 years at barca.
"Louis van gaal has won a battle to install floodlights at the club's carrington training ground. The meticulous manchester united boss was stunned to find that players could not train after dark at the swish complex on the outskirts of the city when he arrived last summer. He immediately ordered a raft of improvements including the installation of floodlights. Sportsmail understands van gaal is very keen to replicate match conditions during sessions. Manchester united manager louis van gaal looks on during a training session alongside wayne rooney. An aerial view of manchester united's swish carrington training base without its floodlights. The manchester united boss was stunned to find players could not train after dark at the swish complex. If united are due to play a night match he would prefer them to prepare by training under lights and, should they be playing in a 3pm kick - off in the winter, he would like to train at a similar time amid fading levels of light. Previous managers at the club have tended to stick to regular morning slots. A club source said : `the manager pays very close attention to detail. By putting the lights in it allows him to recreate conditions much closer to what the players may face.' United have had to persuade planning bosses that the development would not disturb the local bat population. As part of their proposals, called in a bat expert to inspect the premises where the likes of wayne rooney, juan mata and ander herrera hone their skills. Particular concerns were raised over the impact of the three species spotted at the rural location, the common pipistrelle, soprano pipistelle and daunbenton's. However, trafford council have now granted planning application and work should start shortly. Van gaal would prefer them to prepare by training under lights ahead of a night match to replicate conditions. The installation of the lights will also allow van gaal extra time to work with his charges in bleak winters. The installation of the lights will also allow van gaa",correct,Louis van gaal has won a battle to install floodlights at carrington training ground. The manchester united boss ordered a raft of improvements. Van gaal is keen to replicate match conditions during sessions.
"Marcus copeland, 44, admitted one count of fraud at caernarfon crown court. He was told he faces jail. A top mortgage broker who bragged that he `spared no expense' to build his dream home is facing jail after conning a bank into giving him the money for it. Marcus copeland, 44, splashed out almost $ 1million to complete the six - bedroomed eco house. He sourced specialist scottish stone and installed the latest environmentally friendly technologies to make the house in cwm dyserth, near st asaph, north wales, one of the most `green' new builds in the country. But yesterday it emerged that the married father - of - two's dream had become a nightmare, after he admitted lying on mortgage forms to secure more than $ 800, 000 for the property. At caernarfon crown court the former journalist, who was once named best mortgage broker in the midlands and wales, admitted two counts of fraud by lying to abbey national about the profitability of his business to secure the $ 847, 000 loan in march 2007. At an earlier hearing, he also pleaded guilty to five charges of deception after he used his position to inflate the salaries of five of his clients and help them obtain mortgages totalling $ 686, 000. Jonathan austin, defending, said copeland maintained that all the customers knew he had boosted their wages when making the applications. The barrister added that none of the loans had ever been defaulted upon. ` all these mortgages proved to be affordable,' the barrister said. ` the obligations were met.' Recorder gregory bull qc bailed copeland, of deganwy, llandudno, for sentencing later this year. But he went on to warn him : `you are not to read anything into the likely sentence. Imprisonment remains an option.' In november 2010 copeland's home was featured in an article for homebuilding and renovating magazine and described as the `quintes",correct,"Marcus copeland, 44, splashed out almost $ 1million to complete the six eco house. He admitted two counts of fraud by lying to abbey national. He admitted lying on mortgage forms to secure more than $ 800,000."
