article,classification,summary
"An eight - year - old boy who was made an outcast in his village and described by his own family as a `ticking time bomb' because he has hiv has been given a home at last. In a case that was condemned around the world, luo kun kun was expelled from his village when locals - including his own grandfather - signed a petition to banish him to `protect villagers' health'. Following that cold - hearted decision, the mournful child explained how, `nobody plays with me, i play alone'. But now a specialist school in linfen, a city in southern shanxi province, has stepped in to help. The red ribbon school is the only school in china equipped to look after and educate hiv - positive children. Kun kun was refused admission to schools and locals would avoid contact with him, so he spent his days playing in the woods alone. The five - year - old has now been admitted a place at the red ribbon school in linfen, china,. After being banished from his village, kun kun finally has a home where he is cared for and looked after. Kun kun contracted the virus from his mother when she was pregnant with him, but was only diagnosed when he was five years old. His mother and stepfather worked in other provinces, so he was raised near the town of xichong with his non - blood - related grandparents, who had adopted his stepfather as a child. The boy was refused admission to local schools and locals would avoid contact with him, so he spent his days playing in the woods alone. When he was diagnosed, his grandparents found themselves isolated in their village of shufangya in south - eastern china's sichuan province and so sided with the locals. At a special meeting on december 7 last year, 203 village residents signed a petition asking the authorities to `carry out preventative isolation measures by taking kun kun away from the village, and protect the health of the villagers and children'. It went on",hallucinated,"The red ribbon school is the only school in china equipped to look after and educate hiv-positive children. Kun kun contracted the virus from his mother when she was pregnant with him but was only diagnosed when he was five years old. His mother and stepfather signed a petition to banish him to `protect villagers' health' kun kun was refused admission to schools and locals would avoid contact with him, so he spent his days playing in the woods alone."
"Anyone who has seen the lion king will surely agree that it contains one of the most tear - jerking scenes in all of disney history. And for one little girl, whose crestfallen reaction as she witnessed it for the first time was captured on camera by her father, it proved almost too much to bear. Shot by adoring dad, called barles charkley on the site, who is based in baltimore, maryland, the video stars his toddler daughter viktoria, as she comes to terms with the tragedy that is the death of simba the lion's father, mufasa. Tear - jerker : viktoria's crestfallen reaction ( pictured ) as she witnessed a sad scene from disney's the lion king for the first time was captured on camera by her father barles charkley. Mr charkley posted the brief video, which has so far garnered more than four million views, to his facebook page on saturday. It's captioned : `viktoria watching lion king for the first time, and scar just killed mufasa!' He then urges viewers to `check out' her reaction. The little girl is seated hunched up on the sofa gazing at the screen, and as the mournful music rolls in - a score composed by hollywood heavyweight hans zimmer - her bottom lip trembles. The tot then appears to brush away a tear as the emotional scene progresses, before gathering her blanket up around her shoulders in speechless despair. ` are you sad? Mufasa died?' Mr charkley can be heard inquiring. The fragile toddler shakes her head repeatedly as her eyes fill with tears. ` you want a hug?' He persists, to which his viktoria nods her head and makes her way dejectedly over to where he is sitting as the footage ends. Waterworks : viktoria is seated hunched up on the sofa gazing at the screen, and as the mo",hallucinated,"The lion king was shot by adoring dad barles charkley on the site, who is based in baltimore, maryland, the video stars his toddler daughter viktoria. Mr charkley posted the brief video which has more than four million views to his facebook page. It's the death of the lion's father, mufasa."
"As california struggles with a devastating drought, huge amounts of water are mysteriously vanishing from the sacramento - san joaquin delta - - and the prime suspects are farmers whose families have tilled fertile soil there for generations. A state investigation was launched following complaints from two large agencies that supply water to arid farmland in the central valley and to millions of residents as far south as san diego. Delta farmers don't deny using as much water as they need. But they say they're not stealing it because their history of living at the water's edge gives them that right. Still, they have been asked to report how much water they're pumping and to prove their legal rights to it. Scroll down for video. Drought : in this photo taken friday march 27, 2015, low - flow water emitter sits on some of the dry, cracked ground of farmer rudy mussi's almond orchard in the sacramento - san joaquin delta near stockton, california. Resources : rudy mussi watches his grandson, lorenzo, 20 months, tries to turn a water valve on his almond orchard in the sacramento - san joaquin delta ( march 2015 file photo ). At issue is california's century - old water rights system that has been based on self - reporting and little oversight, historically giving senior water rights holders the ability to use as much water as they need, even in drought. Gov. Jerry brown has said that if drought continues this system built into california's legal framework will probably need to be examined. Delta farmer rudy mussi says he has senior water rights, putting him in line ahead of those with lower ranking, or junior, water rights. ` if there's surplus water, hey, i don't mind sharing it,' mussi said.' I don't want anybody with junior water rights leapfrogging my senior water rights just because they have more money and more political clout.' The fight pitting farmer against farmer is",hallucinated,"A state investigation launched following complaints from two large agencies that supply water to arid farmland in the central valley and to millions of residents as far south as san diego. Delta farmers don't deny using as much water as they need, but they have been asked to prove their legal rights to it. Gov. Jerry brown says he has senior water rights."
"At first glance the rectangular island of por - bajin looks like a foreboding fortress or prison, with its regular structure and ruined sections. But it is unknown for certain what the rectangular island and its labyrinthine ruins, located in a lake in deepest siberia, was actually used for when it was built 1, 300 years ago. Historians and scientists are divided, but some experts believe the isolated area may have been built to attract people instead imprisoning them, and suggest it was a summer palace, monastery, or an astronomical observatory. The mysterious island, por - bajin, was found in the centre of a remote lake high in the mountains of southern siberia. A reconstruction sought to show what the island could have looked like before it was ruined. The fortress is located about 3, 800 km from moscow near the mongolian border. The plot thickens as the way it was built, along with the construction materials use, hint at chinese architectural tradition. The name por - bajin translates as `clay house' in the tuvan language, and the island sits between the sayan and altai ranges, about 3, 800 km from moscow near the mongolian border. The location was first discovered in 1891, and the purpose of island has still not been explained over a century later. More in - depth research took place in 2007 with archaeologists discovering clay tablets of human feet, faded coloured drawings on the plaster of the walls, giant gates and fragments of burnt wood. Experts say the island was built during the period of the uighur khaganate ( 744 - 840 ad ) but it is not clear what their motive would be for constructing a fortress for in such a solitary place - - as it is far from big settlements and trade routes. Archaeologists conducted limited and inconclusive excavations at the site in the 1950s and 1960s. The ruined structures have led experts to believe the island was used as a fortress or prison. The island has baffled experts for over a",hallucinated,"Historians and scientists believe the isolated area may have been built to attract people instead imprisoning them. The fortress is located about 3,800 km from moscow near the mongolian border. Experts say the island was built during the period of the uighur khaganate."
"Bayern munich were crowned bundesliga champions for the third year running without even kicking a ball on sunday as their nearest rivals wolfsburg went down to a 1 - 0 defeat at borussia monchengladbach. Needing to win to keep the title race alive - at least mathematically - for another week, wolfsburg rarely looked like succeeding as they were second best at the borussia park stadion. They resisted until the last minute of the game, though, when max kruse struck to earn the foals a win which moves them up to third and secures their place in the champions league next season. Max kruse ( centre ) celebrates his last - minute winner against wolfsburg on sunday in the bundesliga. Wolfsburg knew only a victory against borussia moenchengladbach would keep their title dreams alive. But the defeat means bayern munich have been crowned bundesliga champions for the 25th time. The result means bayern, who beat hertha berlin 1 - 0 on saturday to go 15 points clear, have taken the title for a record 25th time, while pep guardiola has his 19th major honour as a coach and fifth league title. Bayern have secured the title with four matches to spare. However, the champions league semi - finalists will have to wait to celebrate it with their fans as they travel to bayer leverkusen next week before hosting augsburg on may 9th. ` retaining the title is a magnificent achievement. All credit to the coach and the team,' bayern president karl - heinz rummenigge said on the club's website. ` they've been fantastic throughout, in a season following a world cup where we had a host of players in action.' Bastian schweinsteiger's well - taken goal secured a vital three points for bayern on saturday. Bayern were celebrating their latest title on sunday and they tweeted this photo via their official account. In sunday's other match, paderborn",hallucinated,Bayern munich crowned bundesliga champions for the third year running. Wolfsburg beat hertha berlin 1-0 on saturday to go 15 points clear. Pep guardiola's side have been crowned champions league next season.
"Can rickie lambert sue for restraint of trade? Brendan rodgers has killed off lambert's career and you've got to feel sorry for the player. You can't blame him for joining liverpool - - why would he turn that down? At the time he was a confident striker - - playing regularly in the premier league and scoring goals for southampton. He'd just been to a world cup. Rickie lambert has scarcely been given a chance since joining liverpool despite their striking problems. Brendan rodgers' decision to ignore lambert, in favour of mario balotelli, is completely illogical. This time last year lambert was about to play at a world cup for england but his stock has fallen since. For rodgers to ignore him when they have desperately needed goals is illogical. I'm well aware lambert isn't luis suarez, i know he's not a world - class striker. Lambert missed out on saturday at west brom because of a hip injury but it must have been gutting for him to see mario balotelli get yet another chance. The england striker played 90 minutes 20 times last season, made 31 starts, and unlike any liverpool player in the scoring charts this season, easily got into double figures. Contrast that with this campaign when in terms of premier league minutes on the pitch lambert has played the equivalent of roughly six - and - a - half games. Lambert has enjoyed the opportunity to score for his boyhood team but he deserves more football. When he has started in the premier league or champions league, lambert and liverpool have impressed. On his first premier league start for liverpool he scored, and when he played 90 minutes in four consecutive games he scored in the first game, liverpool won the next two, and drew the fourth. And then he was dropped again and hasn't started since. Meanwhile, balotelli regularly gets more time on the pitch, and regularly fails to deliver. He has to go down as liverpool's worst - ever",hallucinated,Brendan rodgers' decision to ignore lambert sue off lambert's career. England striker played 90 minutes 20 times last season. Rickie lambert missed out on saturday at west brom.
"David beckham's 40th birthday celebrations next weekend were never going to be a small affair. The world - famous football star is expected to fly out to morocco for a glamorous bash with his celebrity friends and family. And it is thought he will be staying at the five - star luxury amanjena resort, just outside marrakech. Scroll down for video. David beckham's ( left ) 40th birthday is on saturday, 2 may and reports state that he is to hold his celebrations at the five - star luxury amanjena resort, just outside of morocco ( right ). Amanjena resort amanjena ( peaceful paradise ) is the first aman resort on the african continent and is located just outside the ancient city of marrakech. Set within an oasis of palms and olive trees, moorish heritage is reflected throughout the pise - walled resort, including the morocco luxury pavilions that radiate out from an ancient bassin. The name amanjena translates as peaceful paradise, which is echoed by its remote, private surroundings. According to the sun on sunday, tom cruise, guy ritchie, gordon ramsay and best friend dave gardner are set to attend the event, said to be held at the secluded haven which more resembles an ancient palace. It is not the first time the beckhams have stayed at the resort, with victoria and david renewing their vows there during a romantic getaway in 2004. ` he'll only turn 40 once so he wants to do it in style. Morocco is a place close to his heart,' a source also told the paper. The star's big day is on saturday, 2 may and, according to the reports, his guests have only been told to keep the day free, with specific details remaining a secret. The name amanjena translates as peaceful paradise, which is echoed by its",hallucinated,"David beckham's 40th birthday is on saturday, 2 may and it is thought he will be staying at the five-star luxury amanjena resort, just outside marrakech. Amanjena resort amanjena is the first aman resort on the african continent and is located just outside the ancient city of marrakech. The star is expected to fly out to morocco for a five-star bash with his celebrity friends and family."
"Eintracht frankfurt forward alexander meier, the bundesliga's leading goalscorer, is out for the season with a knee injury. The club says meier will have surgery on his patellar tendon on tuesday. Meier tops the bundesliga with 19 goals, ahead of the bayern munich duo of arjen robben ( 17 ) and robert lewandowski ( 16 ). Eintracht frankfurt hitman alexander meier has been ruled out for the rest of the season with a knee injury. He had scored 19 leage goals this season before his injury, but might now miss out on the golden boot award. 1. Alexander meier, eintracht frankfurt ( 19 ). 2. Arjen robben, bayern munich ( 17 ). 3. Robert lewandowski, bayern munich ( 16 ). 4. Bas dost, wolfsburg ( 13 ). 4 =. Thomas muller, bayern munich ( 13 ). 5. Franco di santo, werder bremen ( 12 ). 5 =. Pierre - emerick aubameyang, borussia dortmund ( 12 ). Robben is also out with an injury and lewandowski could win the scorers' title for the second year running. The poland striker topped last season's scoring list with 20 goals, while still playing for previous club borussia dortmund. Bayern munich's arjen robben is also out of an action with an injury after scoring 17 league goals this term. Bayern's robert lewandowski could be in a great position to win the bundesliga golden boot once again.",hallucinated,Eintracht frankfurt hitman alexander meier is out for the season with a knee injury. Meier will have surgery on his patellar tendon on tuesday. Meier tops the bundesliga with 19 goals.
"England removed both west indies openers after choosing to bowl first in a rain - shortened opening session of the second test in grenada but the under - pressure visitors has a major stroke of fortune. After james anderson castled kraigg brathwaite with a venomous in - swinger in the third over, chris jordan had devon smith caught behind. Smith should still be there, however, after replays clearly showed the ball had missed his outside edge as he thrust forward outside off stump. Replays show devon smith clearly misses the ball before being dismissed caught behind off chris jordan. Smith declines his choice to review the decision with hotspot not available in this test series. With hotspot technology not available in this test as part of the decision review system, smith declined to try his luck upstairs and walked off. That left the hosts 36 for two at lunch, with 15 overs gone. Play was delayed by an hour and 45 minutes after persistent morning showers, with 11 overs lost in the day. Despite having sent down 130 overs in the fourth innings of the drawn first test, captain alastair cook pressed his bowlers back into action, persuaded by humid conditions and a touch of dampness in the pitch. Anderson, who overtook sir ian botham to become the country's leading test wicket - taker in antigua last week, made an early down payment on that decision. Jordan celebrates his first wicket of this match, devon smith, as the west indies went to lunch 36 for two. Smith is given out as england players celebrate their second wicket of a rain - shortened first session. He clattered brathwaite's leg stump having forced the batsman off balance with some prodigious movement through the air. The opener had already seen one edge fall short of the slips off anderson, who was challenging the bat more readily than stuart broad. Broad's opening five overs cost just eight runs but he largely pitched too short to cause concern. Anderson was close to a second",hallucinated,England removed both west indies first in a opening session of the second test in grenada. Chris jordan had missed the ball before being dismissed caught behind off chris jordan. Play was delayed by an hour and 45 minutes after 11 overs lost in the day.
"Exeter has been dubbed `too posh for monopoly' after game makers were told there is nowhere low - rent enough to fill the space of old kent road. It's the most popular board game in the world, with hundreds of versions springing up in far - flung cities across the globe. But monopoly - makers planning a special exeter edition have been told there is nowhere low - rent enough to fill the space of old kent road. Thousands of voters have suggested landmarks across the city in devon to fill the more expensive slots, which are taken up on the london version by the likes of mayfair and park lane. But no one has come forward with ideas for which streets should fill the brown sections of the board, which cost $ 60 in monopoly money. High - end game zones have been easily filled with locations like the city's gothic cathedral, exeter castle, the guildhall and modern shopping centre. But exeter has outdone all previous cities to get their own board - including oxford, cambridge and york - in the posh stakes, with no suggestions for the lower end. Game - makers say they have developed boards for cities across the country but have never come across the current dilemma. Exeter city council leader pete edwards said there were no areas suitable for the brown spots, which are taken up in london by old kent road and whitechapel road. He said :' i think they will have a problem - there is nowhere cheap in exeter that would be suitable for the old kent road spot.' I don't know about being the poshest - but it is such a nice city that no - where really deserves to occupy it. Thousands of voters have suggested landmarks across exeter to fill the more expensive slots, such as the cathedral. No one has come forward with ideas for which streets should fill the brown sections of the board, which cost $ 60 in monopoly money. ` the board was designed on the streets of london and it is a nigh on impossible task to replicate",hallucinated,Thousands of voters have suggested landmarks across the city in devon to fill the space of old kent road. But no one has come forward with ideas for which streets should fill the brown sections of the board. Exeter has all previous cities to get their own board.
"Former barcelona and brazil forward ronaldinho marked a late cameo in queretaro's surprise 4 - 0 thumping of club america with a brace. The 2002 world cup winner came on as the game approached full - time but still struck in the 85th and 90th minutes following earlier goals from yasser corona, who struck midway through the first half, and orbelin pineda's on the stroke of half - time. Tigres monterrey moved up to fourth in the clausura after eventually easing to a 3 - 0 home victory over monterrey. Queretaro playmaker ronaldinho celebrates during his side's emphatic 4 - 0 win over club america. Ronaldinho ( centre ) rolled back the years by scoring two goals in quick succession during the liga mx match. The 35 - year - old replaced queretaro team - mate emanuel villa with just six minutes left on the clock. Lugo aranda's 56th - minute goal put the home side in front but it was not until the closing stages when they put the game to bed. Rafael sobis doubled tigres' lead in the 83rd minute before substitute esqueda tirado added gloss to the scoreline four minutes later, scoring almost immediately after coming off the bench. Carlos pena's 77th - minute effort rescued a 1 - 1 draw for second - bottom leon against toluca, who had taken the lead shortly after half - time through wilder guisao. Christian suarez struck just before half - time as atlas edged to a 1 - 0 win at puebla, who had acosta alvarado sent off in the 82nd minute.",hallucinated,Tigres monterrey scored two goals in queretaro's 4-0 win over club america. The 2002 world cup winner rolled back up to fourth in the clausura. Former barcelona forward ronaldinho beat monterrey team-mate emanuel villa.
"Francis coquelin is confident he can show his potential as arsenal's long - term midfield enforcer when he goes head to head with `unbelievable' nemanja matic in sunday's barclays premier league showdown with chelsea at the emirates stadium. The gunners tackle the leaders aiming to eat into their 10 - point advantage at the top of the table following last weekend's 1 - 0 victory over third - placed manchester united. Coquelin was drafted back into the arsenal squad from a loan spell at charlton in december, since when the 23 - year - old has gone on to cement his place in shielding the back four, and has been instrumental during a run of 21 victories from the last 25 matches. Francis coquelin has made 23 appearances for arsenal this season since ending his loan spell at charlton. Coquelin is looking forward to his duel with chelsea midfielder nemanja matic on sunday at the emirates. The frenchman, though, knows he will be up against one of the best defensive midfielders around when the serb matic aims to close out another triumph for jose mourinho's men. ` what he has done is unbelievable. At chelsea he is one of the main men, so credit to him. He has had a great season and is a great player. It is always good to play against players like that,' coquelin said on arsenal player. ` it is an important position and matic has shown how important he is - that is what i am trying to do as well for arsenal. ` the fans want a good defensive midfielder - they know it is important for the team.' Arsenal will be out to beat chelsea for the first time since october 2011, when robin van persie netted a hat - trick in a remarkable 5 - 3 victory at stamford bridge. Coquelin played against reading in the fa cup semi - final last weekend and has cemented his place in the side. Wenger, though, has every confidence",hallucinated,"Francis coquelin was drafted back into the arsenal squad from a loan spell at charlton in december, after last weekend's 1-0 victory over manchester united. The frenchman has made 23 appearances for arsenal this season. Arsenal will be out to beat chelsea for first time since 2011."
"Goodness knows how many times at white hart lane i've felt like falling to my knees at the back of the west stand and banging my head on the floor. I've lost count. A lifetime of following spurs can have that effect on you, especially in recent years. Last saturday's inept capitulation to aston villa was the most recent occasion : a soft goal down after 45 minutes and an expensively assembled team which looked as if it had been recruited from the local jobcentre half an hour before the kick - off. Stephen dodd took this photograph of asif bodi and abubakar bhula praying at anfield last month. Had i actually gone through with it, however, within seconds i'd have been hauled to my feet by the stewards and steered unceremoniously towards the exit. They are especially vigilant when it comes to anyone blocking the gangways or stairwells. And given football's tragic history, from ibrox to hillsborough, their caution is well - merited. So it was surprising, to say the least, to see that photograph of two muslim liverpool supporters praying to mecca at half - time in an fa cup match. They had rolled out their prayer mat at the foot of some stairs beneath the stand, apparently with the full consent of safety staff. One of the men, solicitor asif bodi, 46, from preston, explained that because the televised game didn't kick off until 4pm, the final whistle would have blown too late for them to pray outside the ground. So perhaps we can point the finger at television. Matches are shifted all over the shop by the schedulers, for purely commercial reasons. For instance, those irritating lunchtime games are designed for the benefit of bookmakers and betting syndicates in the far east, not season ticket holders. Travelling fans often complain that evening games mean it is impossible for them to catch the last train home. But this may be the first",hallucinated,Stephen dodd took asif bodi and abubakar bhula at anfield last month. The game was captured on a mobile phone camera by liverpool supporter stephen dodd. He posted pictures of two muslim supporters to half-time in fa cup match.
"His face has appeared in sandwiches, on tree stumps and even a dog's ear. Now, on the eve of easter, a shop assistant has spotted the image of jesus christ in a hot cross bun. Mother - of - two lindsey norman noticed the uncanny resemblance in a six pack of $ 1 buns she had purchased from her local sainsbury's in peterborough, cambridgeshire. Scroll down for video. Mother of two lindsey norman spotted the image of jesus in the hot cross buns she bought from sainsbury's. She said :' i saw them and thought `` that looks just like a figure of jesus with a sign of the cross on his shoulder''. ` it made me giggle to myself because it's coming up to easter.' Ms norman purchased the buns from the store and took them home for dinner that evening. She has since eaten all the buns in the packet. The shop assistant said it made me `giggle' when she saw the uncanny resemblance with easter coming up. This is not the first time the saviour has been spotted in a peculiar sighting. Last week a california couple were shocked by the `miraculous' appearance of jesus on their pine dining table. Jaimie beebe, 37, and her boyfriend gary ousdahl, 37, put the table on ebay with a $ 5, 000 ( $ 3, 350 ) price tag - but it has yet to receive any bids. In the same week, hundreds of believers flocked to a hillside in the san francisco area of putumayo, colombia, when a landslide revealed the face of jesus. Police had to be called in to control the crowds as christians from across the country descended on the hill to witness the `miracle'. In january last year, stunned dog owner rachel evans, 25, was bathing her mini yorkshire terrier dave in the bathroom sink when she spotted the image of jesus in his ear. And in october",hallucinated,"Mother of two lindsey norman spotted the image of jesus in the hot cross buns. She noticed the resemblance in a six pack of $ 1 buns she had purchased from sainsbury's in peterborough, cambridgeshire. It has yet to receive any bids at the california couple."
"If anyone won this debate it was the women. Their less choreographed style of body language gave the impression we were listening to real messages from real people rather than watching spin doctors' puppets performing. Overall i'm sure miliband's coaching team will be patting themselves on the back and declaring a win but his gesticulation and approach looked as manicured and choreographed as a torville and dean routine. Scroll down for video. Nicola sturgeon ( pictured ) is a smiling assassin, making her a tricky opponent for cameron to stand next to. In his apres - paxman mode, david cameron ( pictured ) was looking serious and oozing leadership charisma. Cameron kept a firm hand on the leadership rudder. He made no mistakes but there were no surprises either. He splayed his legs, he smiled on cue and when he swivelled his huge eyes direct to camera to repeatedly use the phrase `if i am prime minister' it was like a hypnotist working his spell on his audience. Cameron kept a firm hand on the leadership rudder. He made no mistakes but there were no surprises either. Unlike ed he appears fully formed rather than a body language work in progress but there were moments like when he pointed to each other leader in turn, taking them all down like skittles, that he might have scored a few more points than expected. Clegg is a good speaker but his performance was vintage, ie a complete re - run of his 2010 routine. Miliband's coaching team will be patting themselves on the back and declaring a win following the debate. But his gesticulation and approach looked as manicured and choreographed as a torville and dean routine. Farage ( left and right ) was diminished during this debate, perhaps the only casualty of the night, and it was the women who finally took him down with a few small swat",hallucinated,Nicola sturgeon is a prime minister and miliband's coaching team. The women' tv debate debate it was the women. David cameron is a coaching team for cameron.
"In the aftermath of sunday's derby disaster the talk among fans was of summer incomings to reboot a blue machine that, all - of - a - sudden, looks as outdated as a commodore 64. Then there is the inevitable speculation over the future of under - fire manager manuel pellegrini. But the biggest challenge for manchester city this summer could be keeping hold of something they already have. Manchester city striker sergio aguero looks on dejected during the defeat by united at old trafford. The afternoon started so well for aguero and city when he opened the scoring after just eight minutes. Aguero celebrates his 99th goal for manchester city with david silva as de gea looks dejected. It may have gone largely unnoticed in the carnage at old trafford but there was an important landmark for the brilliant sergio aguero that deserves to be recognised. The aftermath of a crushing derby defeat at the old enemy may not be the place for jelly and ice - cream but the argentine's tremendous feat of scoring 100 goals in just 158 appearances should be cause for celebration. Take a minute to think where city would have been without that century. Remember that title - winning goal against qpr in 2012? Most, in that situation, would have put their foot through the ball as soon as it arrived from mario balotelli. Not kun. The man who takes his nickname from a cartoon character had city fans believing in fairy tales when he feigned a shot to open up space before firing home probably the biggest goal in the club's long history. That calm head, that powerful shot and that unnerving ability to find the target are what city paid what now looks like a bargain $ 38m for in 2011. Aguero netted his 100th goal for city in the 89th minute but there was no cause for celebration. The argentine strikes in injury time against qpr to win manchester city the title in 2012. Aguero celebrates with edin dzeko after",hallucinated,Manchester city beat qpr 1-0 at old trafford on sunday. Sergio aguero scored 100 goals for manchester city in the 89th minute. Manuel pellegrini's side were beaten in the premier league table.
"Incumbent chicago mayor rahm emanuel celebrated tuesday night a hard - fought victory in a tense run - off race against challenger jesus `chuy' garcia. Emanuel, a former white house chief of staff notorious for his brusque management style, was forced to campaign furiously across the city to beat cook county commissioner garcia after failing to capture a majority against four other candidates in a february election. The mayoral runoff was the first since the city changed the way it conducts elections about 20 years ago. Scroll down for video. Four more years : chicago mayor rahm emanuel celebrates a victorious election night at plumbers local 130 union hall, tuesday, april 7. Celebratory smooch : mayor emanuel exchanged a kiss with his wife, amy rule, as chicago's first couple reveled in the runoff win. Second city's first family : emanuel was joined on stage by his family, including ( l to r ), daughter leah, wife amy and son zachariah. Rahm's entourage : mayor emanuel's brothers ari, left, and ezekiel emanuel, smile as they celebrate his victory. ` to all the voters i want to thank you for putting me through my paces,' an elated emanuel told supporters tuesday night. ` i will be a better mayor because of that. I will carry your voices, your concerns into. . . The mayor's office.' The 55 - year - old mayor ascended the stage at plumbers local 130 union hall tuesday night to the sounds of u2's beautiful day, accompanied by his wife, amy rule, their children and emanuel's brothers, high - powered hollywood agent ari emanuel and prominent bioethicist ezekiel emanuel. With nearly all voting precincts reporting results, emanuel had about 56 per cent of the vote compared to around 44 per cent for his opponent. ` to all the little boys and girls watching : we didn't lose today, we tried,' garcia told his",hallucinated,"Emanuel, a former white house chief of staff notorious for his management style, was forced to campaign across the city to beat cook county commissioner garcia. The mayoral runoff was the first since the city changed the way it conducts elections about 20 years ago. Emanuel had about 56 per cent of four other candidates in a february election."
"It is not a match to decide the title, as has been the case in earlier seasons. But the manchester derby this sunday still holds great significance for both clubs, managers and, of course, supporters. City have won the last four contests between the sides, as well as the previous three at old trafford. A number of intriguing strands run through this coming clash and could be pulled apart on full time. Here sportsmail assesses ten key questions and tries to provide some answers. Can manuel pellegrini survive a derby loss? The word is the chilean's future will be decided come may when the dust on a creaking season has settled. Defeat to cross - town rivals would push chairman khaldoon al mubarak closer to pressing the termination button though. It would leave city trailing united by four points and likely to finish fourth, needing to get past a qualifying round to reach to champions league - - the very minimum requirement. Manuel pellegrini ( centre ) is a man under - pressure at city and a defeat to their rivals is unthinkable. Who needs the win more? To that end you would probably have to say city. A victory would inject some happiness into what seems a rather glum situation, and reignite ambitions to finish second, possible saving pellegrini from the axe. United look set to finish in the top four regardless, the baseline attainment for this campaign to be judged satisfactory. But they will be desperate to alter that current ugly sequence against their noisy neighbours. United have never lost five in a row to city before. Three points would begin to make their season look very decent indeed. Glenn murray ( right ) tormented city at selhurst park as they dropped out of the premier league title race. Would victory dispel any lingering doubts about louis van gaal? Quite likely. Three successive wins on the bounce against opposition the stature of tottenham, liverpool",hallucinated,City have won the last four at manchester derby this sunday. Manuel pellegrini's side have not lost five in a row to city. Louis van gaal's side are currently in the premier league.
"It's a brave politician indeed who is willing to expose their own battle with their squeezed middle for the cameras. As the election gets underway the gloves have come off between the main parties, and for three frontbenchers the tops have come off as well. Tory health minister dan poulter, lib dem minister tom brake and labour frontbencher gavin shuker imposed strict cuts on their calories and put themselves at the mercy of a personal trainer for men's health magazine. Scroll down for video. Health minister dan poulter saw his weight fell from 105kg to 102. 5 kg, losing two inches off his 35in waist. His body fat fell from 24 per cent to 18 per cent. Cooped up in the department of health, he admitted it is difficult to practice what he preaches on keeping healthy. Skipping breakfast, grabbing lunch on the go and late nights in parliament's bars and restaurants can take its toll on mps when they arrive in westminster. After five years of the coalition government, the three mps agreed to take part in the feature for the men's health magazine, which is better known for its front covers of rippling muscles and toned six packs. Each was given strict orders to eat more healthily, do more exercise and take better care of their bodies. There was the inevitable unflattering `before' photo shoot, followed by a full - length portrait to show off their new physique. Mr poulter, a gp first elected in 2010, could be expected to already know what it takes to stay healthy. But cooped up in the department of health, he admitted it is difficult to practice what he preaches.' I have an erratic diary, working 15 - hour days, so it does require real dedication to get gym sessions in', he said. His personal trainer stephen white put him on a regime of fat - burning intervals and muscle - building resistance training. He said : `dan really struggled at",hallucinated,Dan poulter saw his weight fell from 105kg to 102.5 kg. His body fat fell from 24 per cent to 18 per cent. Tory health minister tom brake and labour frontbencher gavin shuker imposed strict cuts on their calories.
"It's been just a few days since andy murray tied the knot to his long term girlfriend kim sears. But already his mother judy is hopefully that he will soon take the next step and start a family. The 55 - year - old tennis coach told closer magazine this week : `i'm really looking forward to being a granny. I've always wanted to have grandchildren, but i had to be patient and let them get married first.' Scroll down for video. Andy murray's mother judy has revealed that she can't wait for her son to have children with his new wife kim sears. Judy went on to reveal that she wasn't sure when her 27 - year - old son would have children but she knows that he wants them. She said that she will take an active part in their lives and that she can't wait to teach them about tennis. Judy also said that following her stint on strictly come dancing last year she taught her tennis champion son some basic dance moves.' I showed andy part of the basic steps for the waltz, as he was going to be best man at his friend's wedding. So before his own wedding he already knew some steps and was confident about taking to the dance floor.' Andy and kim married this weekend at a service in dunblane cathedral, with the bride wearing a jenny packham dress. The ceremony was followed by a reception at cromlix house, murray's luxury hotel near dunblane. In a later interview on the bbc's one show judy spoke about the wedding itself. She said that it was a prouder moment than when andy won wimbledon in 2013 : `yeah, i think so. I mean it was just such a happy family occasion. ` it was the perfect day from start to finish even despite the hailstones and the snowstorms that we had during the course of the morning. It was lovely, just lovely.' Judy continued : `it really",hallucinated,Andy murray's mother judy has revealed that she can't wait for her son to have children with his new wife kim sears. She said that she will take an active part in their lives and can't teach them about tennis. Andy and kim married this weekend at a service in dunblane cathedral.
